algorithm,n,seed,comparison_count,degree_gini,degree_p80_fraction,degree_normalized_entropy,maximum_degree_share,strength_gini,strength_p80_fraction,strength_normalized_entropy,maximum_strength_share,progress_fraction
tree-unbalanced,128,3,64,0.8961181640625,0.09375,0.5716506805228052,0.140625,0.8961181640625,0.09375,0.5716506805228052,0.140625,0.07281001137656427
tree-unbalanced,128,3,128,0.83160400390625,0.1640625,0.6679393384131795,0.12109375,0.83160400390625,0.1640625,0.6679393384131795,0.12109375,0.14562002275312855
tree-unbalanced,128,3,256,0.74163818359375,0.25,0.7564019216035461,0.09765625,0.74163818359375,0.25,0.7564019216035461,0.09765625,0.2912400455062571
tree-unbalanced,128,3,512,0.5873260498046875,0.40625,0.8463851002791618,0.0810546875,0.5873260498046875,0.40625,0.8463851002791618,0.0810546875,0.5824800910125142
tree-unbalanced,128,3,879,0.3742267491467577,0.6171875,0.9250536417911078,0.07224118316268487,0.3742267491467577,0.6171875,0.9250536417911078,0.07224118316268487,1.0
tree-unbalanced,128,4,1,0.984375,0.015625,0.14285714285714285,0.5,0.984375,0.015625,0.14285714285714285,0.5,0.0012360939431396785
tree-unbalanced,128,4,2,0.98046875,0.0234375,0.21428571428571427,0.5,0.98046875,0.0234375,0.21428571428571427,0.5,0.002472187886279357
tree-unbalanced,128,4,4,0.974609375,0.0234375,0.27223415174708093,0.375,0.974609375,0.0234375,0.27223415174708093,0.375,0.004944375772558714
tree-unbalanced,128,4,8,0.9619140625,0.0390625,0.35388814306606897,0.3125,0.9619140625,0.0390625,0.35388814306606897,0.3125,0.009888751545117428
tree-unbalanced,128,4,16,0.9453125,0.0546875,0.4329484374613666,0.25,0.9453125,0.0546875,0.4329484374613666,0.25,0.019777503090234856
tree-unbalanced,128,4,32,0.921875,0.0703125,0.5083081897883143,0.1875,0.921875,0.0703125,0.5083081897883143,0.1875,0.03955500618046971
tree-unbalanced,128,4,64,0.88525390625,0.109375,0.5914371444842581,0.1484375,0.88525390625,0.109375,0.5914371444842581,0.1484375,0.07911001236093942
tree-unbalanced,128,4,128,0.819580078125,0.171875,0.682477315880289,0.125,0.819580078125,0.171875,0.682477315880289,0.125,0.15822002472187885
tree-unbalanced,128,4,256,0.72515869140625,0.2578125,0.7723691302433279,0.1015625,0.72515869140625,0.2578125,0.7723691302433279,0.1015625,0.3164400494437577
tree-unbalanced,128,4,512,0.551300048828125,0.4375,0.8674078914826303,0.0869140625,0.551300048828125,0.4375,0.8674078914826303,0.0869140625,0.6328800988875154
tree-unbalanced,128,4,809,0.36009927379480833,0.625,0.933854614182328,0.07849196538936959,0.36009927379480833,0.625,0.933854614182328,0.07849196538936959,1.0
tree-unbalanced,128,5,1,0.984375,0.015625,0.14285714285714285,0.5,0.984375,0.015625,0.14285714285714285,0.5,0.001256281407035176
tree-unbalanced,128,5,2,0.98046875,0.0234375,0.21428571428571427,0.5,0.98046875,0.0234375,0.21428571428571427,0.5,0.002512562814070352
tree-unbalanced,128,5,4,0.974609375,0.0234375,0.27223415174708093,0.375,0.974609375,0.0234375,0.27223415174708093,0.375,0.005025125628140704
tree-unbalanced,128,5,8,0.9658203125,0.03125,0.32580558031850954,0.25,0.9658203125,0.03125,0.32580558031850954,0.25,0.010050251256281407
tree-unbalanced,128,5,16,0.95263671875,0.0390625,0.3859018867120046,0.1875,0.95263671875,0.0390625,0.3859018867120046,0.1875,0.020100502512562814
tree-unbalanced,128,5,32,0.931640625,0.0625,0.4905602414295356,0.1875,0.931640625,0.0625,0.4905602414295356,0.1875,0.04020100502512563
tree-unbalanced,128,5,64,0.8912353515625,0.109375,0.5777387462014828,0.1484375,0.8912353515625,0.109375,0.5777387462014828,0.1484375,0.08040201005025126
tree-unbalanced,128,5,128,0.8192138671875,0.171875,0.680060128975171,0.125,0.8192138671875,0.171875,0.680060128975171,0.125,0.16080402010050251
tree-unbalanced,128,5,256,0.7271728515625,0.265625,0.7655240741283417,0.1015625,0.7271728515625,0.265625,0.7655240741283417,0.1015625,0.32160804020100503
tree-unbalanced,128,5,512,0.5465545654296875,0.4453125,0.8622741302167121,0.0869140625,0.5465545654296875,0.4453125,0.8622741302167121,0.0869140625,0.6432160804020101
tree-unbalanced,128,5,796,0.3645669755025125,0.6328125,0.9261314481733216,0.07977386934673367,0.3645669755025125,0.6328125,0.9261314481733216,0.07977386934673367,1.0
